x,y,z
23.00938,31.22194,0
23.00938,34.03573,0
23.00938,36.84953,0
23.00938,39.66332,0
23.00938,42.47711,0
23.00938,45.29091,0
23.00938,48.1047,0
23.00938,50.91849,0
23.00938,53.73229,0
23.00938,56.54608,0
23.00938,59.35987,0
23.00938,62.17367,0
23.00938,64.98746,0
23.00938,67.80125,0
23.00938,70.61504,0
23.00938,73.42884,0
23.00938,76.24263,0
23.00938,79.05642,0
25.92247,31.22194,0
25.92247,34.03573,0
25.92247,36.84953,0
25.92247,39.66332,0
25.92247,42.47711,0
25.92247,45.29091,0
25.92247,48.1047,0
25.92247,50.91849,0
25.92247,53.73229,0
25.92247,56.54608,0
25.92247,59.35987,0
25.92247,62.17367,0
25.92247,64.98746,0
25.92247,67.80125,0
28.83556,34.03573,0
28.83556,36.84953,0
28.83556,39.66332,0
28.83556,42.47711,0
28.83556,45.29091,0
28.83556,48.1047,0
28.83556,50.91849,0
28.83556,53.73229,0
28.83556,56.54608,0
28.83556,59.35987,0
28.83556,62.17367,0
28.83556,64.98746,0
31.74866,34.03573,0
28.83556,31.22194,0
31.74866,36.84953,0
31.74866,39.66332,0
31.74866,42.47711,0
31.74866,45.29091,0
31.74866,48.1047,0
31.74866,50.91849,0
31.74866,53.73229,0
31.74866,56.54608,0
31.74866,59.35987,0
31.74866,62.17367,0
31.74866,64.98746,0
34.66175,34.03573,0
31.74866,31.22194,0
34.66175,36.84953,0
34.66175,39.66332,0
34.66175,42.47711,0
34.66175,45.29091,0
34.66175,48.1047,0
34.66175,50.91849,0
34.66175,53.73229,0
34.66175,56.54608,0
34.66175,59.35987,0
34.66175,62.17367,0
37.57484,31.22194,0
37.57484,34.03573,0
37.57484,36.84953,0
37.57484,39.66332,0
37.57484,42.47711,0
37.57484,45.29091,0
37.57484,48.1047,0
37.57484,50.91849,0
37.57484,53.73229,0
37.57484,56.54608,0
37.57484,59.35987,0
37.57484,62.17367,0
40.48794,34.03573,0
40.48794,36.84953,0
40.48794,39.66332,0
40.48794,42.47711,0
40.48794,45.29091,0
40.48794,48.1047,0
40.48794,50.91849,0
40.48794,53.73229,0
40.48794,56.54608,0
40.48794,59.35987,0
40.48794,62.17367,0
43.40103,34.03573,0
40.48794,31.22194,0
43.40103,36.84953,0
43.40103,39.66332,0
43.40103,42.47711,0
43.40103,45.29091,0
43.40103,48.1047,0
43.40103,50.91849,0
43.40103,53.73229,0
43.40103,56.54608,0
43.40103,59.35987,0
43.40103,62.17367,0
46.31413,31.22194,0
43.40103,31.22194,0
43.40103,28.40815,0
46.31413,34.03573,0
46.31413,36.84953,0
46.31413,39.66332,0
46.31413,42.47711,0
46.31413,45.29091,0
46.31413,48.1047,0
46.31413,50.91849,0
46.31413,53.73229,0
46.31413,56.54608,0
46.31413,59.35987,0
46.31413,62.17367,0
46.31413,64.98746,0
43.40103,65.90792,0
49.22722,28.40815,0
46.31413,28.40815,0
49.22722,31.22194,0
49.22722,34.03573,0
49.22722,36.84953,0
49.22722,39.66332,0
49.22722,42.47711,0
49.22722,45.29091,0
49.22722,48.1047,0
49.22722,50.91849,0
49.22722,53.73229,0
49.22722,56.54608,0
49.22722,59.35987,0
49.22722,62.17367,0
49.22722,64.98746,0
52.14032,28.40815,0
49.22722,25.59435,0
